id,url,tags,title,nase_tagy
46,https://fitrecepty.info/recepty/podle-kategorie/snidane/zitny-chlebrugbrd-1099/,Domácí,Žitný chléb/Rugbr?d,Pečivo
47,https://fitrecepty.info/recepty/podle-kategorie/napoje/smoothie-s-arasidovym-maslem-173/,Smoothie,Smoothie s arašídovým máslem,Snídaně
48,https://fitrecepty.info/recepty/podle-kategorie/napoje/smoothie-s-arasidovym-maslem-173/,Smoothie,Smoothie s arašídovým máslem,Smoothie
49,https://fitrecepty.info/recepty/podle-kategorie/napoje/zelene-smoothie-z-avokada-ananasu-a-bananu-16/,Osvěžení,"Zelené smoothie z avokáda, banánu a ananasu",Smoothie
50,https://fitrecepty.info/recepty/podle-kategorie/napoje/zelene-smoothie-z-avokada-ananasu-a-bananu-16/,Smoothie,"Zelené smoothie z avokáda, banánu a ananasu",Snídaně
51,https://fitrecepty.info/recepty/podle-kategorie/napoje/power-smoothie-538/,Osvěžení,Power smoothie,Smoothie
52,https://fitrecepty.info/recepty/podle-kategorie/napoje/power-smoothie-538/,Smoothie,Power smoothie,Snídaně
53,https://fitrecepty.info/recepty/podle-kategorie/napoje/detox-smoothie-1290-1111/,Osvěžení,Detox smoothie,Smoothie
54,https://fitrecepty.info/recepty/podle-kategorie/napoje/detox-smoothie-1290-1111/,Smoothie,Detox smoothie,Snídaně
55,https://fitrecepty.info/recepty/podle-kategorie/napoje/blueberry-muffin-smoothie-999/,Smoothie,Blueberry muffin smoothie ,Snídaně
56,https://fitrecepty.info/recepty/podle-kategorie/napoje/blueberry-muffin-smoothie-999/,Smoothie,Blueberry muffin smoothie ,Smoothie
57,https://fitrecepty.info/recepty/podle-kategorie/napoje/smoothie-s-granatovym-jablkem-640/,Osvěžení,Smoothie s jahodami a granátovým jablkem,Smoothie
58,https://fitrecepty.info/recepty/podle-kategorie/napoje/smoothie-s-granatovym-jablkem-640/,Smoothie,Smoothie s jahodami a granátovým jablkem,Snídaně
59,https://fitrecepty.info/recepty/podle-kategorie/napoje/kavovo-bananove-smoothie-123/,Osvěžení,Kávovo-banánové smoothie,Smoothie
60,https://fitrecepty.info/recepty/podle-kategorie/napoje/kavovo-bananove-smoothie-123/,Smoothie,Kávovo-banánové smoothie,Snídaně
61,https://fitrecepty.info/recepty/podle-kategorie/napoje/rebarborova-limonada-1124/,Osvěžení,Rebarborová limonáda,Nápoje
62,https://fitrecepty.info/recepty/podle-kategorie/napoje/jablecno-hruskove-smoothie-845/,Osvěžení,Jablečno-hruškové smoothie,Smoothie
63,https://fitrecepty.info/recepty/podle-kategorie/napoje/jablecno-hruskove-smoothie-845/,Smoothie,Jablečno-hruškové smoothie,Snídaně
64,https://fitrecepty.info/recepty/podle-kategorie/napoje/avokadovy-shake-s-proteinem-662/,Shaky,Avokádový shake s proteinem,Nápoje
65,https://fitrecepty.info/recepty/podle-kategorie/napoje/okurkove-smoothie-659/,Osvěžení,Okurkové smoothie,Smoothie
