id,url,title,foto,ingredience,nazev_ingredience
663,https://fitrecepty.info/recepty/podle-kategorie/napoje/malinove-smoothie-s-jogurtem-663/,Malinové smoothie s jogurtem,https://fitrecepty.info/media/4c/a3/4ca3c841-336c-43a5-bf14-baf165aedf99.jpg.890x618_q85_crop.jpg,150 g malin,Maliny
663,https://fitrecepty.info/recepty/podle-kategorie/napoje/malinove-smoothie-s-jogurtem-663/,Malinové smoothie s jogurtem,https://fitrecepty.info/media/4c/a3/4ca3c841-336c-43a5-bf14-baf165aedf99.jpg.890x618_q85_crop.jpg,200 ml mandlového mléka (lze použít i kravské nebo jiné rostlinné či oříškové),Mandlové mléko
663,https://fitrecepty.info/recepty/podle-kategorie/napoje/malinove-smoothie-s-jogurtem-663/,Malinové smoothie s jogurtem,https://fitrecepty.info/media/4c/a3/4ca3c841-336c-43a5-bf14-baf165aedf99.jpg.890x618_q85_crop.jpg,stévie dle chuti,Stévie
639,https://fitrecepty.info/recepty/podle-kategorie/napoje/mango-chia-trist-639/,Mango chia tříšť,https://fitrecepty.info/media/7a/d1/7ad18a79-bb82-4427-b126-32cc013abd89.jpg.890x618_q85_crop.jpg,100 ml mandlového mléka (lze použít kravské nebo jiné),Mandlové mléko
639,https://fitrecepty.info/recepty/podle-kategorie/napoje/mango-chia-trist-639/,Mango chia tříšť,https://fitrecepty.info/media/7a/d1/7ad18a79-bb82-4427-b126-32cc013abd89.jpg.890x618_q85_crop.jpg,80 g čerstvého manga (zbaveného slupky),Mango
639,https://fitrecepty.info/recepty/podle-kategorie/napoje/mango-chia-trist-639/,Mango chia tříšť,https://fitrecepty.info/media/7a/d1/7ad18a79-bb82-4427-b126-32cc013abd89.jpg.890x618_q85_crop.jpg,1 lžička medu,Med
154,https://fitrecepty.info/recepty/podle-kategorie/napoje/matcha-milkshake-154/,Matcha milkshake,https://fitrecepty.info/media/45/12/4512a9fe-7eca-485c-b3eb-5c36f905519b.jpg.890x618_q85_crop.jpg,5 g matcha čaje,Matcha čaj
154,https://fitrecepty.info/recepty/podle-kategorie/napoje/matcha-milkshake-154/,Matcha milkshake,https://fitrecepty.info/media/45/12/4512a9fe-7eca-485c-b3eb-5c36f905519b.jpg.890x618_q85_crop.jpg,250 ml mléka,Mléko
154,https://fitrecepty.info/recepty/podle-kategorie/napoje/matcha-milkshake-154/,Matcha milkshake,https://fitrecepty.info/media/45/12/4512a9fe-7eca-485c-b3eb-5c36f905519b.jpg.890x618_q85_crop.jpg,1 lžíce strouhaného kokosu,kokos strouhaný
990,https://fitrecepty.info/recepty/podle-kategorie/napoje/podzimni-milkshake-s-datlemi-990/,Podzimní milkshake s datlemi ,https://fitrecepty.info/media/26/d1/26d10c01-1038-44a0-9038-4e5826667c1a.jpg.890x618_q85_crop.jpg,3 medjool datle,Med
990,https://fitrecepty.info/recepty/podle-kategorie/napoje/podzimni-milkshake-s-datlemi-990/,Podzimní milkshake s datlemi ,https://fitrecepty.info/media/26/d1/26d10c01-1038-44a0-9038-4e5826667c1a.jpg.890x618_q85_crop.jpg,300 ml mandlového mléka,Mandlové mléko
990,https://fitrecepty.info/recepty/podle-kategorie/napoje/podzimni-milkshake-s-datlemi-990/,Podzimní milkshake s datlemi ,https://fitrecepty.info/media/26/d1/26d10c01-1038-44a0-9038-4e5826667c1a.jpg.890x618_q85_crop.jpg,1/2 lžičky skořice,Skořice
990,https://fitrecepty.info/recepty/podle-kategorie/napoje/podzimni-milkshake-s-datlemi-990/,Podzimní milkshake s datlemi ,https://fitrecepty.info/media/26/d1/26d10c01-1038-44a0-9038-4e5826667c1a.jpg.890x618_q85_crop.jpg,40 g ovesných vloček,Ovesné vločky
645,https://fitrecepty.info/recepty/podle-kategorie/napoje/pomerancove-smoothie-645/,Pomerančové smoothie,https://fitrecepty.info/media/41/3b/413b4344-21b8-421d-b57e-00e03238f483.jpg.890x618_q85_crop.jpg,1 pomeranč (oloupaný),Pomeranč
645,https://fitrecepty.info/recepty/podle-kategorie/napoje/pomerancove-smoothie-645/,Pomerančové smoothie,https://fitrecepty.info/media/41/3b/413b4344-21b8-421d-b57e-00e03238f483.jpg.890x618_q85_crop.jpg,100 ml mléka,Mléko
645,https://fitrecepty.info/recepty/podle-kategorie/napoje/pomerancove-smoothie-645/,Pomerančové smoothie,https://fitrecepty.info/media/41/3b/413b4344-21b8-421d-b57e-00e03238f483.jpg.890x618_q85_crop.jpg,1 lžička medu,Med
645,https://fitrecepty.info/recepty/podle-kategorie/napoje/pomerancove-smoothie-645/,Pomerančové smoothie,https://fitrecepty.info/media/41/3b/413b4344-21b8-421d-b57e-00e03238f483.jpg.890x618_q85_crop.jpg,100 g nízkotučného řeckého jogurtu,Řecký jogurt
645,https://fitrecepty.info/recepty/podle-kategorie/napoje/pomerancove-smoothie-645/,Pomerančové smoothie,https://fitrecepty.info/media/41/3b/413b4344-21b8-421d-b57e-00e03238f483.jpg.890x618_q85_crop.jpg,půl lžičky skořice,Skořice
645,https://fitrecepty.info/recepty/podle-kategorie/napoje/pomerancove-smoothie-645/,Pomerančové smoothie,https://fitrecepty.info/media/41/3b/413b4344-21b8-421d-b57e-00e03238f483.jpg.890x618_q85_crop.jpg,semínka z půlky vanilkového lusku (lze vynechat),Vanilkový lusk
885,https://fitrecepty.info/recepty/podle-kategorie/napoje/rychle-dynove-spice-latte-885/,Rychlé dýňové spice latté,https://fitrecepty.info/media/8e/e3/8ee3cfe4-d17a-4d94-84c9-09692436fd0c.jpg.890x618_q85_crop.jpg,200 ml polotučného mléka (lze nahradit rostlinným),Mléko
885,https://fitrecepty.info/recepty/podle-kategorie/napoje/rychle-dynove-spice-latte-885/,Rychlé dýňové spice latté,https://fitrecepty.info/media/8e/e3/8ee3cfe4-d17a-4d94-84c9-09692436fd0c.jpg.890x618_q85_crop.jpg,půl lžičky mleté skořice,Skořice
38,https://fitrecepty.info/recepty/podle-kategorie/napoje/spenatove-zelene-smoothie-38/,Špenátové zelené smoothie,https://fitrecepty.info/media/94/86/9486cbfe-6d37-4a4f-bc19-7d8f2b7ef5d9.jpg.890x618_q85_crop.jpg,3 hrsti čerstvého špenátu,Špenát
38,https://fitrecepty.info/recepty/podle-kategorie/napoje/spenatove-zelene-smoothie-38/,Špenátové zelené smoothie,https://fitrecepty.info/media/94/86/9486cbfe-6d37-4a4f-bc19-7d8f2b7ef5d9.jpg.890x618_q85_crop.jpg,1 menší kelímek řeckého jogurtu (140g),Řecký jogurt
38,https://fitrecepty.info/recepty/podle-kategorie/napoje/spenatove-zelene-smoothie-38/,Špenátové zelené smoothie,https://fitrecepty.info/media/94/86/9486cbfe-6d37-4a4f-bc19-7d8f2b7ef5d9.jpg.890x618_q85_crop.jpg,1 banán (120g),Banán
38,https://fitrecepty.info/recepty/podle-kategorie/napoje/spenatove-zelene-smoothie-38/,Špenátové zelené smoothie,https://fitrecepty.info/media/94/86/9486cbfe-6d37-4a4f-bc19-7d8f2b7ef5d9.jpg.890x618_q85_crop.jpg,2 lžíce ovesných vloček (14g),Ovesné vločky
38,https://fitrecepty.info/recepty/podle-kategorie/napoje/spenatove-zelene-smoothie-38/,Špenátové zelené smoothie,https://fitrecepty.info/media/94/86/9486cbfe-6d37-4a4f-bc19-7d8f2b7ef5d9.jpg.890x618_q85_crop.jpg,1 lžíce medu (22g),Med
38,https://fitrecepty.info/recepty/podle-kategorie/napoje/spenatove-zelene-smoothie-38/,Špenátové zelené smoothie,https://fitrecepty.info/media/94/86/9486cbfe-6d37-4a4f-bc19-7d8f2b7ef5d9.jpg.890x618_q85_crop.jpg,2 lžičky chia semínek (7g),Chia semínka
38,https://fitrecepty.info/recepty/podle-kategorie/napoje/spenatove-zelene-smoothie-38/,Špenátové zelené smoothie,https://fitrecepty.info/media/94/86/9486cbfe-6d37-4a4f-bc19-7d8f2b7ef5d9.jpg.890x618_q85_crop.jpg,200 ml vody,Voda
898,https://fitrecepty.info/recepty/podle-kategorie/napoje/zazvorove-pivo-898/,Zázvorové pivo,https://fitrecepty.info/media/19/5f/195f48f4-4e35-4c16-a2a4-9ff84e0a19c0.jpg.890x618_q85_crop.jpg,4 cm dlouhý oddenek zázvoru,Zázvor
898,https://fitrecepty.info/recepty/podle-kategorie/napoje/zazvorove-pivo-898/,Zázvorové pivo,https://fitrecepty.info/media/19/5f/195f48f4-4e35-4c16-a2a4-9ff84e0a19c0.jpg.890x618_q85_crop.jpg,šťáva z 1 citronu,Citrón
898,https://fitrecepty.info/recepty/podle-kategorie/napoje/zazvorove-pivo-898/,Zázvorové pivo,https://fitrecepty.info/media/19/5f/195f48f4-4e35-4c16-a2a4-9ff84e0a19c0.jpg.890x618_q85_crop.jpg,1 lžíce medu,Med
898,https://fitrecepty.info/recepty/podle-kategorie/napoje/zazvorove-pivo-898/,Zázvorové pivo,https://fitrecepty.info/media/19/5f/195f48f4-4e35-4c16-a2a4-9ff84e0a19c0.jpg.890x618_q85_crop.jpg,100 ml sody,Jedlá soda
898,https://fitrecepty.info/recepty/podle-kategorie/napoje/zazvorove-pivo-898/,Zázvorové pivo,https://fitrecepty.info/media/19/5f/195f48f4-4e35-4c16-a2a4-9ff84e0a19c0.jpg.890x618_q85_crop.jpg,1 lžička skořice,Skořice
1077,https://fitrecepty.info/recepty/podle-kategorie/napoje/zazvorove-shoty-proti-chripce-1077/,Zázvorové shoty proti chřipce,https://fitrecepty.info/media/bf/ce/bfcee570-a4a7-426e-8729-f866935fe8a0.jpg.890x618_q85_crop.jpg,100 g čerstvého zázvoru,Zázvor
1077,https://fitrecepty.info/recepty/podle-kategorie/napoje/zazvorove-shoty-proti-chripce-1077/,Zázvorové shoty proti chřipce,https://fitrecepty.info/media/bf/ce/bfcee570-a4a7-426e-8729-f866935fe8a0.jpg.890x618_q85_crop.jpg,šťáva a kůra z 1 citronu,Citrón
1055,https://fitrecepty.info/recepty/podle-kategorie/zdravemlsani/skoricove-susenky-se-strouhanym-jablkem-1055/,Skořicové sušenky se strouhaným jablkem ,https://fitrecepty.info/media/52/ff/52ff5713-7d28-476e-9285-27abe8f979f5.jpg.890x618_q85_crop.jpg,80 g mletých mandlí,Mandle
821,https://fitrecepty.info/recepty/podle-kategorie/zdravemlsani/zazvorove-susenky-821/,Zázvorové sušenky,https://fitrecepty.info/media/e6/83/e6832924-4655-41a1-841b-0d622b19cf6d.jpg.890x618_q85_crop.jpg,1 vejce,vejce
636,https://fitrecepty.info/recepty/podle-kategorie/zdravemlsani/zmrzlinovy-sandwich-636/,Zmrzlinový sandwich,https://fitrecepty.info/media/1a/a3/1aa31504-672b-45ac-9a94-73b717fab89c.jpg.890x618_q85_crop.jpg,1 zmražený banán,Banán
683,https://fitrecepty.info/recepty/podle-kategorie/zdravemlsani/bounty-rez-683/,Bounty řez,https://fitrecepty.info/media/25/aa/25aa7ef9-21a8-4d01-87c7-67042729dd43.jpg.890x618_q85_crop.jpg,1 lžíce holandského kakaa,Holandské kakao
235,https://fitrecepty.info/recepty/podle-kategorie/zdravemlsani/celozrnne-koblizky-pecene-v-troube-235/,Celozrnné koblížky pečené v troubě,https://fitrecepty.info/media/d0/8c/d08c16be-2a21-4e5d-8e94-aaf8110af339.jpg.890x618_q85_crop.jpg,"20 g sypké stévie na posypání (pokud nemáme, nahradíme třtinovým cukrem)",Třtinový cukr
738,https://fitrecepty.info/recepty/podle-kategorie/zdravemlsani/jablecny-kolac-z-kuskusu-738/,Jablečný koláč z kuskusu,https://fitrecepty.info/media/cd/ad/cdade6ca-e60e-4670-b9d2-c271749ff0df.jpg.890x618_q85_crop.jpg,50 g kokosového oleje,Kokosový olej
